MapCode,SpeciesName,CohortAge,CohortBiomass
49555,JUVI,60,430.43
49555,PIPA2,60,1417.24
49555,PIVI2,40,241.175
49555,PIVI2,50,584.21
49555,ACRU,30,232.65
49555,ACRU,40,78.21
49555,ACRU,50,546.15
49555,ACRU,60,575.19
49555,ACRU,70,1078
49555,CAGL8,70,374.99
49555,CAGL8,80,1520.2
49555,LITU,30,75.24
49555,LITU,50,1013.43
49555,QUAL,70,916.74
49555,QUCO2,70,4747.38
49555,QUFA,40,123.09
49555,QUFA,50,258.61
49555,QUFA,60,747.5600000000001
49555,QURU,80,2135.87
49555,QUST,60,269.39
49555,QUST,70,1443.09
49555,QUST,90,1990.45
49555,QUVE,40,88.22
49555,QUVE,50,89.1
49566,PITA,30,762.3
49566,PITA,40,2821.665
49566,ACRU,30,226.49
49566,ACRU,50,354.2
49566,ACRU,60,632.28
49566,CAGL8,10,70.95
49566,CAGL8,60,241.45
49566,NYSY,10,23.65
49566,NYSY,30,77.66
49566,NYSY,40,688.05
49566,QUAL,20,90.53
49566,QUAL,30,248.875
49566,QUAL,60,351.23
49566,QUAL,70,508.64
49566,QUFA,50,393.69
49566,QUST,60,185.24
49566,QUVE,30,185.29500000000002
49566,QUVE,40,219.12
49070,PITA,30,762.3
49070,PITA,40,4941.97
49070,CAAL27,20,64.02
49070,CAAL27,30,250.25
49070,LIST2,10,17.27
49070,LIST2,20,257.84
49070,LIST2,30,431.42
49070,LIST2,40,117.7
49070,QUAL,20,195.36
49070,QUAL,30,206.91
49070,QUAL,60,944.68
49070,QUNI,10,43.56
49070,QUNI,30,107.8
49070,QUNI,40,185.57
49070,QURU,50,648.45
49070,QUVE,30,191.07
48838,JUVI,20,54.285
48838,JUVI,30,221.1
48838,JUVI,50,138.49
48838,LITU,40,373.23
48838,QUNI,50,481.69
48838,QUNI,70,12556.72
49383,PITA,30,378.29
49383,PITA,40,5557.53
49383,CAAL27,20,77.55
49383,LIST2,10,70.62
49383,LIST2,20,57.75
49383,LIST2,40,263.34
49383,LITU,10,31.24
49383,LITU,20,312.18
49383,LITU,30,3271.62
49383,LITU,40,979.99
49383,LITU,50,1151.59
49383,QUAL,10,31.46
49383,QUAL,70,1220.1200000000001
49383,QUFA,50,661.65
49383,QUFA,60,1184.26
49383,QUNI,10,50.27
49383,QUNI,20,98.89
49383,QURU,60,357.94
49383,QURU,70,1280.18
49383,QUST,60,182.93
50050,PITA,20,264.11
50050,ACRU,10,46.64
50050,ACRU,20,69.08
50050,ACRU,30,214.28
50050,ACRU,70,1363.34
50050,LIST2,10,22.22
50050,LIST2,20,149.82
50050,LIST2,30,95.15
50050,LIST2,40,282.92
50050,LIST2,50,1338.48
50050,LITU,40,276.32
50050,QUAL,60,270.6
50050,QUNI,30,105.93
50050,QUNI,40,179.52
49191,PITA,30,451.66
49191,LIST2,20,149.82
49191,LIST2,30,97.24
49191,LIST2,40,106.26
49191,LITU,10,55.44
49191,LITU,20,100.265
49191,LITU,30,122.65
49191,LITU,40,3061.52
48673,PITA,20,485.76
48673,PITA,30,5817.9
48673,PITA,40,4828.56
48673,QUAL,10,17.93
48673,QULA2,20,477.73
48677,PITA,40,1060.73
48677,PITA,50,2245.1
48677,ACRU,30,206.69
