Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
60, LITU, 0, 0, 7, 225, 
60, NYBI, 0, 0, 53, 85, 
60, NYSY, 0, 0, 83, 263, 
60, PIEC2, 6242, 0, 63, 596, 
60, PIPA2, 6242, 0, 0, 0, 
60, PITA, 6242, 0, 0, 0, 
60, PIVI2, 0, 0, 0, 0, 
60, QUAL, 0, 0, 13, 515, 
60, QUCO2, 0, 0, 6, 207, 
60, QUFA, 0, 0, 2, 1569, 
60, QULA2, 0, 0, 0, 277, 
60, QULA3, 0, 0, 0, 114, 
60, QUMA3, 0, 0, 0, 249, 
60, QUNI, 0, 0, 29, 213, 
60, QUPR2, 0, 0, 0, 28, 
60, QURU, 0, 0, 5, 172, 
60, QUST, 0, 0, 88, 570, 
60, QUVE, 0, 0, 3, 255, 
60, TADI2, 0, 0, 0, 0, 
70, ACRU, 0, 0, 103, 442, 
70, CAAL27, 0, 0, 106, 426, 
70, CAGL8, 0, 0, 53, 361, 
70, CAOV2, 0, 0, 2, 110, 
70, FRPE, 0, 0, 0, 43, 
70, JUVI, 0, 0, 0, 667, 
70, LIST2, 0, 0, 39, 450, 
70, LITU, 0, 0, 6, 218, 
70, NYBI, 0, 0, 23, 95, 
70, NYSY, 0, 0, 80, 267, 
70, PIEC2, 0, 0, 189, 1442, 
70, PIPA2, 0, 0, 0, 0, 
70, PITA, 0, 0, 0, 0, 
70, PIVI2, 0, 0, 0, 0, 
70, QUAL, 0, 0, 32, 564, 
70, QUCO2, 0, 0, 4, 244, 
70, QUFA, 0, 0, 2, 1637, 
70, QULA2, 0, 0, 0, 263, 
70, QULA3, 0, 0, 0, 134, 
70, QUMA3, 0, 0, 0, 280, 
70, QUNI, 0, 0, 38, 191, 
70, QUPR2, 0, 0, 1, 24, 
70, QURU, 0, 0, 3, 209, 
70, QUST, 0, 0, 104, 571, 
70, QUVE, 0, 0, 4, 271, 
70, TADI2, 0, 0, 0, 0, 
80, ACRU, 0, 0, 422, 408, 
80, CAAL27, 0, 0, 176, 484, 
80, CAGL8, 0, 0, 111, 358, 
80, CAOV2, 0, 0, 7, 99, 
80, FRPE, 0, 0, 4, 58, 
80, JUVI, 0, 0, 0, 664, 
80, LIST2, 0, 0, 31, 380, 
80, LITU, 0, 0, 39, 260, 
80, NYBI, 0, 0, 36, 94, 
80, NYSY, 0, 0, 175, 267, 
80, PIEC2, 0, 0, 433, 1247, 
80, PIPA2, 0, 0, 0, 0, 
80, PITA, 0, 0, 0, 0, 
80, PIVI2, 0, 0, 0, 0, 
80, QUAL, 0, 0, 14, 623, 
80, QUCO2, 0, 0, 4, 262, 
80, QUFA, 0, 0, 2, 1494, 
80, QULA2, 0, 0, 0, 278, 
80, QULA3, 0, 0, 0, 134, 
80, QUMA3, 0, 0, 0, 270, 
80, QUNI, 0, 0, 29, 183, 
80, QUPR2, 0, 0, 0, 23, 
80, QURU, 0, 0, 3, 251, 
80, QUST, 0, 0, 59, 503, 
80, QUVE, 0, 0, 5, 239, 
80, TADI2, 0, 0, 0, 0, 
90, ACRU, 0, 0, 197, 288, 
90, CAAL27, 0, 0, 124, 315, 
90, CAGL8, 0, 0, 84, 273, 
90, CAOV2, 0, 0, 8, 69, 
90, FRPE, 0, 0, 6, 44, 
90, JUVI, 0, 0, 0, 442, 
90, LIST2, 0, 0, 12, 252, 
90, LITU, 0, 0, 12, 178, 
90, NYBI, 0, 0, 17, 65, 
90, NYSY, 0, 0, 59, 207, 
90, PIEC2, 82219, 0, 103, 364, 
90, PIPA2, 82219, 0, 0, 0, 
90, PITA, 82219, 0, 0, 0, 
90, PIVI2, 0, 0, 0, 0, 
90, QUAL, 0, 0, 6, 462, 
90, QUCO2, 0, 0, 0, 184, 
90, QUFA, 0, 0, 3, 784, 
90, QULA2, 0, 0, 0, 238, 
90, QULA3, 0, 0, 0, 112, 
90, QUMA3, 0, 0, 2, 255, 
90, QUNI, 0, 0, 4, 110, 
90, QUPR2, 0, 0, 0, 24, 
90, QURU, 0, 0, 1, 182, 
90, QUST, 0, 0, 26, 244, 
90, QUVE, 0, 0, 2, 178, 
90, TADI2, 0, 0, 0, 0, 
100, ACRU, 0, 0, 31, 399, 
100, CAAL27, 0, 0, 32, 417, 
100, CAGL8, 0, 0, 26, 309, 
100, CAOV2, 0, 0, 4, 105, 
100, FRPE, 0, 0, 0, 44, 
100, JUVI, 0, 0, 0, 623, 
100, LIST2, 0, 0, 4, 450, 
100, LITU, 0, 0, 1, 240, 
100, NYBI, 0, 0, 5, 61, 
100, NYSY, 0, 0, 15, 246, 
100, PIEC2, 6242, 0, 65, 553, 
100, PIPA2, 6242, 0, 0, 0, 
100, PITA, 6242, 0, 0, 0, 
100, PIVI2, 0, 0, 0, 0, 
100, QUAL, 0, 0, 6, 511, 
100, QUCO2, 0, 0, 1, 192, 
100, QUFA, 0, 0, 1, 1462, 
100, QULA2, 0, 0, 1, 243, 
100, QULA3, 0, 0, 0, 136, 
100, QUMA3, 0, 0, 0, 269, 
100, QUNI, 0, 0, 1, 171, 
100, QUPR2, 0, 0, 0, 22, 
100, QURU, 0, 0, 3, 218, 
100, QUST, 0, 0, 25, 570, 
100, QUVE, 0, 0, 1, 239, 
100, TADI2, 0, 0, 0, 0, 
